,filename,ch_size,popmin,popmax,min_exp,max_exp,range_err,nlearn,method
0,chi2df2n10000,50,0.0000,21.9290,-0.0017,17.1038,4.8236,36,online50
1,chi2df2n10000,50,0.0000,21.9290,-0.0013,17.1038,4.8239,36,online_mm50
2,chi2df2n10000,50,0.0000,21.9290,0.0003,16.1121,5.8172,6000,offline50
3,chi2df2n10000,500,0.0000,21.9290,-0.0006,17.1038,4.8246,316,online500
4,chi2df2n10000,500,0.0000,21.9290,-0.0019,17.1038,4.8234,335,online_mm500
5,chi2df2n10000,500,0.0000,21.9290,0.0002,16.0873,5.8419,6000,offline500
6,chi2df10n10000,50,0.7468,33.6357,1.0809,30.5521,3.4178,5,online50
7,chi2df10n10000,50,0.7468,33.6357,1.6765,30.5521,4.0134,5,online_mm50
8,chi2df10n10000,50,0.7468,33.6357,1.2543,29.9288,4.2144,6000,offline50
9,chi2df10n10000,500,0.7468,33.6357,1.0809,30.5521,3.4178,46,online500
10,chi2df10n10000,500,0.7468,33.6357,1.5592,30.5521,3.8960,58,online_mm500
11,chi2df10n10000,500,0.7468,33.6357,1.2394,30.0347,4.0936,6000,offline500
