,filename,ch_size,popmin,popmax,min_err,max_err,range_err,nlearn,method
0,fdistdfn5dfd10n10000,50,0.0083,52.4746,0.0066,28.2996,24.1733,42,online50
1,fdistdfn5dfd10n10000,50,0.0083,52.4746,0.0399,28.2996,24.2066,43,online_mm50
2,fdistdfn5dfd10n10000,50,0.0083,52.4746,0.0093,26.0777,26.3979,6000,offline50
3,fdistdfn5dfd10n10000,500,0.0083,52.4746,0.0066,28.2996,24.1733,452,online500
4,fdistdfn5dfd10n10000,500,0.0083,52.4746,0.0092,28.2996,24.1759,452,online_mm500
5,fdistdfn5dfd10n10000,500,0.0083,52.4746,0.0095,25.7865,26.6893,6000,offline500
6,fdistdfn5dfd20n10000,50,0.0219,127.5459,0.0374,39.5619,87.9997,48,online50
7,fdistdfn5dfd20n10000,50,0.0219,127.5459,0.0545,39.5619,88.0167,47,online_mm50
8,fdistdfn5dfd20n10000,50,0.0219,127.5459,0.0405,37.5826,89.9820,6000,offline50
9,fdistdfn5dfd20n10000,500,0.0219,127.5459,0.0374,39.5619,87.9997,476,online500
10,fdistdfn5dfd20n10000,500,0.0219,127.5459,0.0448,39.5619,88.0071,476,online_mm500
11,fdistdfn5dfd20n10000,500,0.0219,127.5459,0.0405,37.3959,90.1687,6000,offline500
