,filename,ch_size,popmin,popmax,min_exp,max_exp,range_err,nlearn,method
0,normalm0sd1n10000,50,-3.6943,4.2593,-3.6943,3.9272,0.3321,2,online50
1,normalm0sd1n10000,50,-3.6943,4.2593,-3.6943,3.9272,0.3321,2,online_mm50
2,normalm0sd1n10000,50,-3.6943,4.2593,-3.5084,3.6422,0.8030,6000,offline50
3,normalm0sd1n10000,500,-3.6943,4.2593,-3.6943,3.9272,0.3321,3,online500
4,normalm0sd1n10000,500,-3.6943,4.2593,-3.3789,3.6035,0.9713,12,online_mm500
5,normalm0sd1n10000,500,-3.6943,4.2593,-3.5030,3.6789,0.7718,6000,offline500
6,normalm0sd4n10000,50,-14.2604,18.0044,-13.9291,18.0044,0.3312,3,online50
7,normalm0sd4n10000,50,-14.2604,18.0044,-13.9291,18.0044,0.3312,3,online_mm50
8,normalm0sd4n10000,50,-14.2604,18.0044,-13.7063,16.9229,1.6356,6000,offline50
9,normalm0sd4n10000,500,-14.2604,18.0044,-13.9291,18.0044,0.3312,2,online500
10,normalm0sd4n10000,500,-14.2604,18.0044,-13.9291,18.0044,0.3312,2,online_mm500
11,normalm0sd4n10000,500,-14.2604,18.0044,-13.7212,16.8399,1.7037,6000,offline500
