,filename,ch_size,popmin,popmax,min_exp,max_exp,range_err,nlearn,method
0,waldm1sd2n10000,50,0.1090,12.8305,0.1277,6.4705,6.3787,29,online50
1,waldm1sd2n10000,50,0.1090,12.8305,0.1502,6.4705,6.4012,30,online_mm50
2,waldm1sd2n10000,50,0.1090,12.8305,0.1300,5.8676,6.9839,6000,offline50
3,waldm1sd2n10000,500,0.1090,12.8305,0.1272,6.4705,6.3782,295,online500
4,waldm1sd2n10000,500,0.1090,12.8305,0.1469,6.4705,6.3979,300,online_mm500
5,waldm1sd2n10000,500,0.1090,12.8305,0.1300,5.8230,7.0284,6000,offline500
6,waldm1sd05n10000,50,0.0323,15.1948,0.0329,15.1033,0.0922,44,online50
7,waldm1sd05n10000,50,0.0323,15.1948,0.0539,15.1033,0.1132,41,online_mm50
8,waldm1sd05n10000,50,0.0323,15.1948,0.0387,14.6235,0.5778,6000,offline50
9,waldm1sd05n10000,500,0.0323,15.1948,0.0368,15.1033,0.0961,416,online500
10,waldm1sd05n10000,500,0.0323,15.1948,0.0368,15.1033,0.0961,416,online_mm500
11,waldm1sd05n10000,500,0.0323,15.1948,0.0387,14.5737,0.6276,6000,offline500
