,filename,ch_size,popmin,popmax,min_exp,max_exp,range_err,nlearn,method
0,wiebullshape1n10000,50,0.0000,12.2323,-0.0003,12.2323,-0.0004,41,online50
1,wiebullshape1n10000,50,0.0000,12.2323,0.0063,12.2323,0.0063,39,online_mm50
2,wiebullshape1n10000,50,0.0000,12.2323,0.0002,10.4219,1.8106,6000,offline50
3,wiebullshape1n10000,500,0.0000,12.2323,0.0001,12.2323,0.0001,384,online500
4,wiebullshape1n10000,500,0.0000,12.2323,0.0007,12.2323,0.0007,382,online_mm500
5,wiebullshape1n10000,500,0.0000,12.2323,0.0002,10.5048,1.7276,6000,offline500
6,wiebullshape5n10000,50,0.1209,1.5980,0.1812,1.5602,0.0982,4,online50
7,wiebullshape5n10000,50,0.1209,1.5980,0.1812,1.5602,0.0982,4,online_mm50
8,wiebullshape5n10000,50,0.1209,1.5980,0.1989,1.5542,0.1219,6000,offline50
9,wiebullshape5n10000,500,0.1209,1.5980,0.1812,1.5602,0.0982,4,online500
10,wiebullshape5n10000,500,0.1209,1.5980,0.2131,1.5290,0.1612,10,online_mm500
11,wiebullshape5n10000,500,0.1209,1.5980,0.1999,1.5531,0.1240,6000,offline500
