dataset,rule,C,k,chunk_far_pct,detect_pct,n_detected,arl_0,arl_1,n_in_control,n_ooc
TEP Mode 1,fixed C=3,3,500,100.0,99.91284137129576,3439,0.0,1.0008723466123872,38,3442
TEP Mode 1,fixed C=10,10,500,23.684210526315788,81.95816385822197,2821,2.9,1.2141084721729882,38,3442
TEP Mode 1,1% of k,5,500,97.36842105263158,99.27367809413133,3417,0.02702702702702703,1.0073163593795726,38,3442
TEP Mode 1,2% of k,10,500,23.684210526315788,81.95816385822197,2821,2.9,1.2141084721729882,38,3442
TEP Mode 1,5% of k,25,500,0.0,68.65194654270773,2363,38.0,1.4396953025814643,38,3442
TEP Mode 1,10% of k,50,500,0.0,64.43927948866937,2218,38.0,1.5333633904418396,38,3442
TEP Mode 3,fixed C=3,3,500,100.0,100.0,3440,0.0,1.0,39,3440
TEP Mode 3,fixed C=10,10,500,100.0,99.21511627906978,3413,0.0,1.007617931438617,39,3440
TEP Mode 3,1% of k,5,500,100.0,100.0,3440,0.0,1.0,39,3440
TEP Mode 3,2% of k,10,500,100.0,99.21511627906978,3413,0.0,1.007617931438617,39,3440
TEP Mode 3,5% of k,25,500,100.0,98.98255813953489,3405,0.0,1.0099853157121879,39,3440
TEP Mode 3,10% of k,50,500,100.0,98.86627906976744,3401,0.0,1.011173184357542,39,3440
TEP Mode 4,fixed C=3,3,500,92.6829268292683,99.14630556373271,3368,0.07894736842105263,1.008313539192399,41,3397
TEP Mode 4,fixed C=10,10,500,0.0,71.82808360317927,2440,41.0,1.3827868852459015,41,3397
TEP Mode 4,1% of k,5,500,36.58536585365854,87.400647630262,2969,1.7333333333333334,1.1414617716402828,41,3397
TEP Mode 4,2% of k,10,500,0.0,71.82808360317927,2440,41.0,1.3827868852459015,41,3397
TEP Mode 4,5% of k,25,500,0.0,62.73182219605534,2131,41.0,1.5748474894415767,41,3397
TEP Mode 4,10% of k,50,500,0.0,57.697968795996466,1960,41.0,1.711734693877551,41,3397
TEP Mode 5,fixed C=3,3,500,100.0,99.94145199063233,3414,0.0,1.0005858230814295,44,3416
TEP Mode 5,fixed C=10,10,500,15.909090909090908,75.61475409836066,2583,4.625,1.3124274099883857,44,3416
TEP Mode 5,1% of k,5,500,93.18181818181817,97.54098360655738,3332,0.07317073170731707,1.024609843937575,44,3416
TEP Mode 5,2% of k,10,500,15.909090909090908,75.61475409836066,2583,4.625,1.3124274099883857,44,3416
TEP Mode 5,5% of k,25,500,11.363636363636363,63.40749414519906,2166,6.5,1.5535549399815327,44,3416
TEP Mode 5,10% of k,50,500,6.8181818181818175,54.56674473067916,1864,10.25,1.7950643776824033,44,3416
MetroPT-3,fixed C=3,3,1000,95.6140350877193,22.857142857142858,8,0.045871559633027525,3.125,1482,35
MetroPT-3,fixed C=10,10,1000,95.27665317139001,22.857142857142858,8,0.049575070821529746,3.125,1482,35
MetroPT-3,1% of k,10,1000,95.27665317139001,22.857142857142858,8,0.049575070821529746,3.125,1482,35
MetroPT-3,2% of k,20,1000,92.84750337381917,17.142857142857142,6,0.07703488372093023,3.5,1482,35
MetroPT-3,5% of k,50,1000,25.236167341430498,11.428571428571429,4,2.9546666666666668,5.25,1482,35
MetroPT-3,10% of k,100,1000,9.986504723346828,11.428571428571429,4,8.953020134228188,5.25,1482,35
Water Pump,fixed C=3,3,500,47.654320987654316,27.77777777777778,10,1.092783505154639,2.4,405,36
Water Pump,fixed C=10,10,500,36.79012345679013,25.0,9,1.7066666666666668,2.6666666666666665,405,36
Water Pump,1% of k,5,500,42.71604938271605,27.77777777777778,10,1.3333333333333333,2.4,405,36
Water Pump,2% of k,10,500,36.79012345679013,25.0,9,1.7066666666666668,2.6666666666666665,405,36
Water Pump,5% of k,25,500,29.38271604938272,16.666666666666664,6,2.3833333333333333,3.6666666666666665,405,36
Water Pump,10% of k,50,500,23.950617283950617,11.11111111111111,4,3.142857142857143,4.0,405,36
AI4I 2020,fixed C=3,3,100,66.66666666666666,85.1063829787234,80,0.5,1.1375,6,94
AI4I 2020,fixed C=10,10,100,0.0,7.446808510638298,7,6.0,5.571428571428571,6,94
AI4I 2020,1% of k,1,100,100.0,100.0,94,0.0,1.0,6,94
AI4I 2020,2% of k,2,100,100.0,96.80851063829788,91,0.0,1.032967032967033,6,94
AI4I 2020,5% of k,5,100,66.66666666666666,52.12765957446809,49,0.5,1.7346938775510203,6,94
AI4I 2020,10% of k,10,100,0.0,7.446808510638298,7,6.0,5.571428571428571,6,94
