dataset,rule,C_min,C_med,C_max,chunk_far_pct,detect_pct,arl_0,arl_1,n_in_control,n_ooc
MetroPT-3,fixed C=3  (current default),3.0,3.0,3.0,94.54722492697177,22.857142857142858,0.057672502574665295,3.125,1027,35
MetroPT-3,fixed C=10 (best from sweep),10.0,10.0,10.0,94.0603700097371,22.857142857142858,0.06314699792960662,3.125,1027,35
MetroPT-3,binomial (nominal alpha_dim),15.0,15.0,15.0,93.67088607594937,22.857142857142858,0.06756756756756757,3.125,1027,35
MetroPT-3,binomial (empirical p_hat),7.0,34.0,123.0,22.39532619279455,14.285714285714285,3.45021645021645,4.2,1027,35
MetroPT-3,binomial (effective n),4.0,8.0,27.0,93.28140214216164,20.0,0.0720250521920668,3.142857142857143,1027,35
MetroPT-3,empirical quantile,12.835714285714289,125.90714285714296,697.7,2.6290165530671863,8.571428571428571,35.714285714285715,7.0,1027,35
Water Pump,fixed C=3  (current default),3.0,3.0,3.0,25.4416961130742,23.076923076923077,2.8904109589041096,2.3333333333333335,283,26
Water Pump,fixed C=10 (best from sweep),10.0,10.0,10.0,11.307420494699647,19.230769230769234,7.606060606060606,2.8,283,26
Water Pump,binomial (nominal alpha_dim),8.0,8.0,8.0,14.487632508833922,23.076923076923077,5.761904761904762,2.3333333333333335,283,26
Water Pump,binomial (empirical p_hat),1.0,2.0,115.0,9.540636042402827,23.076923076923077,9.142857142857142,2.5,283,26
Water Pump,binomial (effective n),1.0,2.0,14.0,12.014134275618375,23.076923076923077,7.114285714285714,2.5,283,26
Water Pump,empirical quantile,1.0,2.3999999999999915,225.59999999999994,5.30035335689046,11.538461538461538,16.75,5.0,283,26
