chunk_far_pct,detect_pct,arl_0,arl_1,dataset,method,semantics,C,k,D
100.0,97.87234042553192,0.0,1.0217391304347827,AI4I 2020,Baseline Shewhart Chart,PER-FEATURE,5,100,5
100.0,98.93617021276596,0.0,1.010752688172043,AI4I 2020,Baseline Shewhart Chart,TOTAL,5,100,5
100.0,100.0,0.0,1.0,AI4I 2020,Baseline EWMA Chart,PER-FEATURE,5,100,5
100.0,100.0,0.0,1.0,AI4I 2020,Baseline EWMA Chart,TOTAL,5,100,5
0.0,21.27659574468085,6.0,2.6,AI4I 2020,Baseline Full-History Bootstrap,PER-FEATURE,5,100,5
0.0,35.1063829787234,6.0,2.1515151515151514,AI4I 2020,Baseline Full-History Bootstrap,TOTAL,5,100,5
66.66666666666666,52.12765957446809,0.5,1.7346938775510203,AI4I 2020,Proposed RBULT-SPC,PER-FEATURE,5,100,5
66.66666666666666,90.42553191489363,0.5,1.0823529411764705,AI4I 2020,Proposed RBULT-SPC,TOTAL,5,100,5
,0.0,0.0,,Industrial Pump,Baseline Shewhart Chart,PER-FEATURE,10,200,5
,0.0,0.0,,Industrial Pump,Baseline Shewhart Chart,TOTAL,10,200,5
,0.0,0.0,,Industrial Pump,Baseline EWMA Chart,PER-FEATURE,10,200,5
,0.0,0.0,,Industrial Pump,Baseline EWMA Chart,TOTAL,10,200,5
,0.0,0.0,,Industrial Pump,Baseline Full-History Bootstrap,PER-FEATURE,10,200,5
,60.0,0.0,1.6666666666666667,Industrial Pump,Baseline Full-History Bootstrap,TOTAL,10,200,5
,0.0,0.0,,Industrial Pump,Proposed RBULT-SPC,PER-FEATURE,10,200,5
,8.0,0.0,11.75,Industrial Pump,Proposed RBULT-SPC,TOTAL,10,200,5
99.50617283950616,100.0,0.004962779156327543,1.0,Water Pump,Baseline Shewhart Chart,PER-FEATURE,25,500,10
99.75308641975309,100.0,0.0024752475247524753,1.0,Water Pump,Baseline Shewhart Chart,TOTAL,25,500,10
100.0,100.0,0.0,1.0,Water Pump,Baseline EWMA Chart,PER-FEATURE,25,500,10
100.0,100.0,0.0,1.0,Water Pump,Baseline EWMA Chart,TOTAL,25,500,10
32.592592592592595,72.22222222222221,2.0526315789473686,1.1538461538461537,Water Pump,Baseline Full-History Bootstrap,PER-FEATURE,25,500,10
43.7037037037037,72.22222222222221,1.2881355932203389,1.1538461538461537,Water Pump,Baseline Full-History Bootstrap,TOTAL,25,500,10
29.38271604938272,16.666666666666664,2.3833333333333333,3.6666666666666665,Water Pump,Proposed RBULT-SPC,PER-FEATURE,25,500,10
29.876543209876544,16.666666666666664,2.3278688524590163,3.6666666666666665,Water Pump,Proposed RBULT-SPC,TOTAL,25,500,10
99.46018893387314,100.0,0.005427408412483039,1.0,MetroPT-3,Baseline Shewhart Chart,PER-FEATURE,50,1000,7
99.79757085020243,100.0,0.002028397565922921,1.0,MetroPT-3,Baseline Shewhart Chart,TOTAL,50,1000,7
100.0,100.0,0.0,1.0,MetroPT-3,Baseline EWMA Chart,PER-FEATURE,50,1000,7
100.0,100.0,0.0,1.0,MetroPT-3,Baseline EWMA Chart,TOTAL,50,1000,7
8.232118758434549,57.14285714285714,11.05691056910569,1.55,MetroPT-3,Baseline Full-History Bootstrap,PER-FEATURE,50,1000,7
43.45479082321187,62.857142857142854,1.2992248062015503,1.4090909090909092,MetroPT-3,Baseline Full-History Bootstrap,TOTAL,50,1000,7
25.236167341430498,11.428571428571429,2.9546666666666668,5.25,MetroPT-3,Proposed RBULT-SPC,PER-FEATURE,50,1000,7
